DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9041100,Potassium arsenate,7784-41-0,GVPLVOGUVQAPNJ-UHFFFAOYSA-M,Potassium dihydrogen arsorate,[K+].O[As](O)([O-])=O,"InChI=1S/AsH3O4.K/c2-1(3,4)5;/h(H3,2,3,4,5);/q;+1/p-1",AsH2KO4,180.032,179.880610,44,,34,18,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021387,"2-(2,4,5-Trichlorophenoxy)propionic acid",93-72-1,ZLSWBLPERHFHIS-UHFFFAOYSA-N,"2-(2,4,5-Trichlorophenoxy)propanoic acid",CC(OC1=C(Cl)C=C(Cl)C(Cl)=C1)C(O)=O,"InChI=1S/C9H7Cl3O3/c1-4(9(13)14)15-8-3-6(11)5(10)2-7(8)12/h2-4H,1H3,(H,13,14)",C9H7Cl3O3,269.5,267.946077,136,74,77,17,1,13/235,6.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6029703,Ammonium thiosulfate,7783-18-8,XYXNTHIYBIDHGM-UHFFFAOYSA-N,Bisammonium sulfurothioate,[NH4+].[NH4+].[O-]S([S-])(=O)=O,"InChI=1S/2H3N.H2O3S2/c;;1-5(2,3)4/h2*1H3;(H2,1,2,3,4)",H8N2O3S2,148.2,147.997634,90,19,38,1316,2,3/235,1.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5029685,Nitric acid,7697-37-2,GRYLNZFGIOXLOG-UHFFFAOYSA-N,Nitric acid,O[N+]([O-])=O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",HNO3,63.012,62.995643,130,1193,941,2132,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1032309,"2,4-D-Butotyl",1929-73-3,ZMWGIGHRZQTQRE-UHFFFAOYSA-N,"2-Butoxyethyl (2,4-dichlorophenoxy)acetate",CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,"InChI=1S/C14H18Cl2O4/c1-2-3-6-18-7-8-19-14(17)10-20-13-5-4-11(15)9-12(13)16/h4-5,9H,2-3,6-8,10H2,1H3",C14H18Cl2O4,321.19,320.058215,97,6,44,7,2,13/430,3.0,430
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1044142,Zirconium(IV) chloride,10026-11-6,DUNKXUFBGCUVQW-UHFFFAOYSA-J,Zirconium(4+) tetrachloride,Cl[Zr](Cl)(Cl)Cl,InChI=1S/4ClH.Zr/h4*1H;/q;;;;+4/p-4,Cl4Zr,233.02,229.780110,55,28,43,2,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60893218,Ammonium sulfide ((NH4)2S),12135-76-1,UYJXRRSPUVSSMN-UHFFFAOYSA-P,Bisammonium sulfide,[NH4+].[NH4+].[S--],InChI=1S/2H3N.S/h2*1H3;/q;;-2/p+2,H8N2S,68.14,68.040819,56,,24,16,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1064827,Antimony trifluoride,7783-56-4,GUNJVIDCYZYFGV-UHFFFAOYSA-K,Trifluorostibane,F[Sb](F)F,InChI=1S/3FH.Sb/h3*1H;/q;;;+3/p-3,F3Sb,178.755,177.899020,35,,58,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70872832,Strontium chromate,7789-06-2,NVKTUNLPFJHLCG-UHFFFAOYSA-N,Strontium tetraoxidochromate(2-),[Sr++].[O-][Cr]([O-])(=O)=O,InChI=1S/Cr.4O.Sr/q;;;2*-1;+2,CrO4Sr,203.61,203.825777,65,13,38,379,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020444,"2,4-D isooctyl ester",25168-26-7,,,"C*.CCCCCCCOC(=O)COC1=CC=C(Cl)C=C1Cl |c:18,t:13,15,lp:9:2,11:2,13:2,18:3,21:3,m:1:3.4.5.6.7.8|",,,, ,64,6,,20,1,1/235,0.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9025459,Isobutylamine,78-81-9,KDSNLYIMUZNERS-UHFFFAOYSA-N,2-Methylpropan-1-amine,CC(C)CN,"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3",C4H11N,73.139,73.089149,100,11,125,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021388,"2,4,5-Trichlorophenoxyacetic acid",93-76-5,SMYMJHWAQXWPDB-UHFFFAOYSA-N,"(2,4,5-Trichlorophenoxy)acetic acid",OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13/h1-2H,3H2,(H,12,13)",C8H5Cl3O3,255.48,253.930427,198,808,138,17,2,26/642,4.0,642
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3060457,Mercuric cyanide,592-04-1,FQGYCXFLEQVDJQ-UHFFFAOYSA-N,Bis(cyanido-kappaC)mercury,N#C[Hg]C#N,InChI=1S/2CN.Hg/c2*1-2;,C2HgN2,252.63,253.976791,45,46,47,6,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20884763,"Zincate(3-), pentachloro-, ammonium (1:3)",14639-98-6,IYBCULKOHOEVED-UHFFFAOYSA-L,Trisammonium pentachloridozincate(3-),[NH4+].[NH4+].[NH4+].Cl[Zn-3](Cl)(Cl)(Cl)Cl,InChI=1S/5ClH.3H3N.Zn/h5*1H;3*1H3;/q;;;;;;;;+2/p-2,Cl5H12N3Zn,296.75,292.876528,24,,,,5, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6065054,Trisodium phosphate decahydrate,10361-89-4,AGXLJXZOBXXTBA-UHFFFAOYSA-K,Sodium phosphate--water (3/1/10),O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[O-]P([O-])([O-])=O,"InChI=1S/3Na.H3O4P.10H2O/c;;;1-5(2,3)4;;;;;;;;;;/h;;;(H3,1,2,3,4);10*1H2/q3*+1;;;;;;;;;;;/p-3",H20Na3O14P,344.089,344.028375,12,,18,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5047457,Ammonium carbonate,506-87-6,PRKQVKDSMLBJBJ-UHFFFAOYSA-N,Bisammonium carbonate,[NH4+].[NH4+].[O-]C([O-])=O,"InChI=1S/CH2O3.2H3N/c2-1(3)4;;/h(H2,2,3,4);2*1H3",CH8N2O3,96.086,96.053492,93,51,85,29,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3023895,Barium cyanide,542-62-1,UNLSXXHOHZUADN-UHFFFAOYSA-N,Barium dicyanide,[Ba++].[C-]#N.[C-]#N,InChI=1S/2CN.Ba/c2*1-2;/q2*-1;+2,C2BaN2,189.363,189.911395,39,,18,6,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024268,Potassium cyanide,151-50-8,NNFCIKHAZHQZJG-UHFFFAOYSA-N,Potassium cyanide,[K+].[C-]#N,InChI=1S/CN.K/c1-2;/q-1;+1,CKN,65.116,64.966780,107,1703,92,120,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90866339,"Butan-2-yl (2,4,5-trichlorophenoxy)acetate",61792-07-2,KOCPUBZALOBLTB-UHFFFAOYSA-N,"Butan-2-yl (2,4,5-trichlorophenoxy)acetate",CCC(C)OC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl,"InChI=1/C12H13Cl3O3/c1-3-7(2)18-12(16)6-17-11-5-9(14)8(13)4-10(11)15/h4-5,7H,3,6H2,1-2H3",C12H13Cl3O3,311.58,309.993027,8,,15,,4, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4041602,Ammonium benzoate,1863-63-4,VWSRWGFGAAKTQG-UHFFFAOYSA-N,Ammonium benzoate,[NH4+].[O-]C(=O)C1=CC=CC=C1,"InChI=1S/C7H6O2.H3N/c8-7(9)6-4-2-1-3-5-6;/h1-5H,(H,8,9);1H3",C7H9NO2,139.154,139.063329,61,,64,34,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020443,"2,4-D Butyl ester",94-80-4,UQMRAFJOBWOFNS-UHFFFAOYSA-N,"Butyl (2,4-dichlorophenoxy)acetate",CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,"InChI=1S/C12H14Cl2O3/c1-2-3-6-16-12(15)8-17-11-5-4-9(13)7-10(11)14/h4-5,7H,2-3,6,8H2,1H3",C12H14Cl2O3,277.14,276.032000,97,28,88,,1,10/451,2.0,451
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60858807,Fenoprop-isoctyl,32534-95-5,,,,,,, ,30,,,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4065070,Ferric nitrate,10421-48-4,VCJMYUPGQJHHFU-UHFFFAOYSA-N,Iron(3+) trinitrate,[Fe+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,InChI=1S/Fe.3NO3/c;3*2-1(3)4/q+3;3*-1,FeN3O9,241.857,241.898390,60,64,33,15,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020679,Heptachlor,76-44-8,FRCCEHPWNOQAEU-UHFFFAOYSA-N,"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene",ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",C10H5Cl7,373.3,369.821094,216,408,83,52,2,312/913,34.0,913
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3039242,Benzene,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,C6H6,78.114,78.046950,268,8535,570,2988,2,1/235,0.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4024359,"2,4,5-Trichlorophenol",95-95-4,LHJGJYXLEPZJPM-UHFFFAOYSA-N,"2,4,5-Trichlorophenol",OC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C6H3Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-2,10H",C6H3Cl3O,197.44,195.924948,184,201,145,18,1,204/942,22.0,942
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1027263,Pentyl acetate,628-63-7,PGMYKACGEOXYJE-UHFFFAOYSA-N,Pentyl acetate,CCCCCOC(C)=O,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",C7H14O2,130.187,130.099380,181,120,118,1389,2,39/841,5.0,841
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5025948,Potassium dichromate,7778-50-9,KMUONIBRACKNSN-UHFFFAOYSA-N,Dipotassium mu-oxido(hexaoxido)dichromate(4-),[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O,InChI=1S/2Cr.2K.7O/q;;2*+1;;;;;;2*-1,Cr2K2O7,294.182,293.772827,115,763,116,176,2,116/235,49.0,235
